,Movie,MovieCode,Year,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
143,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30728300,"Roy, Deep",3
144,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30827397,"Tai, Ada",2
145,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30827398,"Tai, Arlene",2
146,Big Fish_2003,21004171,2003,30114716,"Burton, Tim (I)",30932653,"Zanuck, Richard D.",3
147,Big Fish_2003,21004171,2003,30213196,"DeVito, Danny",30243631,"Elfman, Danny",3
148,Big Fish_2003,21004171,2003,30213196,"DeVito, Danny",30481927,"Lebenzon, Chris",3
149,Big Fish_2003,21004171,2003,30243631,"Elfman, Danny",30282593,"Frauenfelder, Katterli",3
150,Big Fish_2003,21004171,2003,30243631,"Elfman, Danny",30481927,"Lebenzon, Chris",7
151,Big Fish_2003,21004171,2003,30243631,"Elfman, Danny",30682325,"Pyle, Missi",2
152,Big Fish_2003,21004171,2003,30243631,"Elfman, Danny",30727445,"Rousselot, Philippe",3
153,Big Fish_2003,21004171,2003,30243631,"Elfman, Danny",30728300,"Roy, Deep",3
154,Big Fish_2003,21004171,2003,30243631,"Elfman, Danny",30932653,"Zanuck, Richard D.",3
155,Big Fish_2003,21004171,2003,30282593,"Frauenfelder, Katterli",30481927,"Lebenzon, Chris",3
156,Big Fish_2003,21004171,2003,30282593,"Frauenfelder, Katterli",30682325,"Pyle, Missi",2
157,Big Fish_2003,21004171,2003,30282593,"Frauenfelder, Katterli",30727445,"Rousselot, Philippe",3
158,Big Fish_2003,21004171,2003,30282593,"Frauenfelder, Katterli",30728300,"Roy, Deep",3
159,Big Fish_2003,21004171,2003,30282593,"Frauenfelder, Katterli",30932653,"Zanuck, Richard D.",3
160,Big Fish_2003,21004171,2003,30481927,"Lebenzon, Chris",30682325,"Pyle, Missi",2
161,Big Fish_2003,21004171,2003,30481927,"Lebenzon, Chris",30727445,"Rousselot, Philippe",3
162,Big Fish_2003,21004171,2003,30481927,"Lebenzon, Chris",30728300,"Roy, Deep",3
163,Big Fish_2003,21004171,2003,30481927,"Lebenzon, Chris",30827397,"Tai, Ada",2
164,Big Fish_2003,21004171,2003,30481927,"Lebenzon, Chris",30827398,"Tai, Arlene",2
165,Big Fish_2003,21004171,2003,30481927,"Lebenzon, Chris",30932653,"Zanuck, Richard D.",3
166,Big Fish_2003,21004171,2003,30682325,"Pyle, Missi",30727445,"Rousselot, Philippe",2
167,Big Fish_2003,21004171,2003,30682325,"Pyle, Missi",30728300,"Roy, Deep",2
168,Big Fish_2003,21004171,2003,30682325,"Pyle, Missi",30932653,"Zanuck, Richard D.",2
169,Big Fish_2003,21004171,2003,30727445,"Rousselot, Philippe",30728300,"Roy, Deep",3
170,Big Fish_2003,21004171,2003,30727445,"Rousselot, Philippe",30932653,"Zanuck, Richard D.",3
171,Big Fish_2003,21004171,2003,30728300,"Roy, Deep",30932653,"Zanuck, Richard D.",3
172,Big Fish_2003,21004171,2003,30827397,"Tai, Ada",30827398,"Tai, Arlene",2
173,Ed Wood_1994,21004201,1994,30044414,"Banks, Lena",30114716,"Burton, Tim (I)",2
174,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30115210,"Bush, Tommy (I)",2
175,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30187389,"Czapsky, Stefan",3
176,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30210840,"Depp, Johnny",4
177,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30214482,"Di Novi, Denise",6
178,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30228865,"Drescher, Adam (I)",2
179,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30266601,"Filpi, Carmen",3
180,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30387714,"Howard, Rance",2
181,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30420536,"Jones, Jeffrey (I)",3
182,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30471448,"Landau, Martin",2
183,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30481927,"Lebenzon, Chris",8
184,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30530473,"Marie, Lisa (I)",4
